sentimen,berita
1,Potret Presiden Jokowi Mengukur Baju Karya Desainer Ivan Gunawan
1,alan Layang Tol Cikampek Bergelombang Gara-Gara Digunakan Untuk Uji Coba Esemka Ribuan Unit
1,Pesawat Jatuh di Tol Banyumanik
1,Busana Jokowi Terinspirasi dari Cerita Fiksi
1,Foto Uang 212 Bergambar Perempuan Bercadar
1,Prabowo Subianto Peringatkan Gatot Nurmantyo Jangan Bikin Kisruh Indonesia
1,Akun Facebook Wakil Ketua I DPRD Kota Parepare Tasming Hamid (TSM)
1,Tagihan Biaya Asuransi Mengatasnamakan JNE
1,TNI Siap Ambil Alih Kekuasaan karena Jokowi akan Dimakzulkan
1,Putri Presiden Vladimir Putin Meninggal setelah Suntikan Kedua Vaksin Covid-19
1,Lukisan Tahun 1962 Ini Telah Ramalkan Kehidupan pada 2022 Usai Pandemi Covid-19
1,Negara Arab Merupakan Negara yang PalingAwal Mengakui Kemerdekaan RI
1,Seorang Pria Buang Uang Rp 300 Juta di JalanRaya
1,Akun Facebook Mengatasnamakan Wakil DPRD Sulawesi Utara
1,Poster Habib Rizieq Dibakar Seluruh Anggota FPI Kebal Bacok dan Kami Siap Perang
1,KPK Gelar Lomba Petak Umpat Peringati HUT RI ke-75
1,Akun Mengatasnamakan Mantan Gubernur Kepri Meminjam Uang
1,Penukaran Uang Pecahan Rp75 Ribu untuk Bayar Utang Negara
1,Bahan Baku Uang Kertas Dollar Amerika dari Serat Pohon Pisang Abaka
1,Video Pesta Kembang Api Merayakan Tahun Baru Islam 1442 Hijriah
1,Video Kelompok Wanita Berhijab Injak Bendera Merah Putih Demi Konten TikTok
1,Burj Khalifa Dihiasi Bendera Israel untuk Merayakan Perjanjian Damai Israel dan Uni Emirat Arab
0, 17:13        Ramp Check Pesawat Diintensifkan Hingga
0, 16:36        Pelindo I Sambut Kapal Perdana yang Bersandar di Tahun 2019 
0, 16:00        Libur Tahun Baru Setengah Juta Orang Pergi Keluar Negeri  
0, 14:28        Jumlah Penumpang saat Natal dan Tahun Baru di Pelabuhan Tanjung Perak Naik 6416 Persen 
0, 13:38        10 Orang Terkaya di Dunia Versi Bloomberg Billionaire Index 
0, 13:30         2019 AP II Incar Kelola Bandara di Negara Lain 
0, 13:03        Sambut 2019 Sri Mulyani Bicara soal Suntikan ke BPJS Kesehatan  
0, 12:39        Sepanjang 2018  Bandara AP II Layani 115 Juta Penumpang  
0, 12:16        Utang Ratusan Miliar Rupiah Wim Cycle Ajukan PKPU 
0, 09:26        Penerimaan Negara 2018 Lebihi Target Defisit Terkecil Sejak 2012 
0, 08:23        Refleksi 2018 Sri Mulyani Kenang 21 Jajarannya Jadi Korban JT-610 
0, 06:06        Ini 10 Berita Ekonomi yang Paling Banyak Dibaca Tahun 2018 
0, 05:53        Korsel Larang Supermarket Gunakan Kantong Plastik  
0, 20:17        Sepanjang 2018 Inflasi DKI Jakarta 327 Persen 
0, 19:42        Penerimaan Pajak Tak Capai Target Tapi Bea dan Cukai Sebaliknya 
0, 18:53        Target Pemerintah soal Jumlah Wisman Tak Tercapai Ini Sebabnya 
0, 18:45        Tahun Ini Angkasa Pura I Targetkan Pendapatan Rp 10 Triliun 
0, 18:30        Ada Asian Games dan Pertemuan IMF-Bank Dunia Kunjungan Wisman Naik 1163 Persen 
0, 18:10        Sepanjang 2018 Angkasa Pura I Layani 965 Juta Penumpang 
0, 17:55        Defisit Anggaran dan Keseimbangan Primer 2018 Terkecil Sejak 2012 
0, 17:30        KEIN: Rata-rata Inflasi Bahan Makanan 5 Tahun Terakhir Turun 36 Persen 
0, 17:12        OJK Minta Perbankan Tak Buru-buru Respon Kenaikan Bunga Acuan 
0, 16:47        Lebihi Target Penerimaan Negara Tahun 2018 Tembus Rp 1.9423 Triliun 
0, 16:40        Menko Darmin Tekankan Pentingnya Integritas di Pasar Modal 
0, 16:14        Lini Bisnis Ditutup BEI Pantau First Media 
0, 16:02        Pengguna Pesawat Turun saat Libur Natal dan Tahun Baru 2018 
0, 15:16        Menko Darmin Yakin Inflasi 2019 Bisa Dikendalikan 
0, 14:42        Tutup Tahun 2018 100 Persen Desa di NTB Telah Dialiri Listrik 
0, 14:15        Pertamina EP Targetkan Produksi Minyak di Pangkalan Susu Field 1.000 Barrel Per Hari 
0, 14:00        Jangan Lupa Mulai Hari Ini Layanan OSS Pindah ke Kantor BKPM 
0, 13:49        Dirut Mandiri Prediksi BI Naikkan Suku Bunga 2 Kali Tahun Ini 
0, 13:30        Darmin: Pertumbuhan Ekonomi Indonesia Terjaga di Tengah Perang Dagang 
0, 13:15        Awal Tahun 2019 Harga Minyak Dunia Anjlok 1 Persen 
0, 12:53        Harga BBM dan Beras Punya Andil Besar terhadap Inflasi 2018 
0, 12:45        Jika Pemilu Lancar Bos Mandiri Optimistis Likuiditas Perbankan Membaik 
0, 12:24        Inflasi Desember 2018062 Persen Dipicu Harga Telur dan Daging Ayam 
0, 11:30        Menko Darmin: Optimisme Harus Punya Dasar 
0, 11:05        Kuartal IV 2018 Pertumbuhan Ekonomi Singapura Hanya 2,2 Persen 
0, 10:29        Gunung Anak Krakatau Berstatus Siaga Pelayaran di Selat Sunda Diminta Waspada  
0, 10:01        Perdagangan Perdana 2019 IHSG Bergerak Menguat Tipis 
0, 09:35        Realisasi APBN 2018 Pecahkan Rekor? 
0, 09:31        Tahun Ini Waskita Beton Precast Targetkan Laba Naik 10 Persen 
0, 08:52        Menyambut January Effect Ini Sektor Saham yang Patut Dicermati 
0, 08:05        Bisnis Perusahaan Nuklir Bill Gates Terhambat Perseteruan AS-China 
0, 07:10        Selama 2018 Mayoritas Anggaran ESDM Dibelanjakan untuk Infrastruktur 
0, 06:45        Berita Populer Ekonomi: Grab Dihukum Bayar Kompensasi di Vietnam 
0, 06:30        10 Negara Paling Inovatif di Dunia 
0, 05:50        Risiko Masih Tinggi Ini Portofolio yang Bisa Menjadi Pilihan Investasi 
0, 05:14        Sepanjang 2018 Pelni Angkut 36 Juta Penumpang 
0, 22:50        Perilaku Masyarakat Gunakan Kantong Plastik Dipandang Harus Berubah 
0, 22:48        ESDM Bangun 434 Penerangan Jalan Tenaga Surya di Manggarai Barat 
0, 22:02        Hingga Maret 2019 Pemerintah Pastikan Tarif Listrik Tidak Naik 
0, 21:46        Semester I BRI Akan Terbitkan Obligasi Rp 20 Triliun 
0, 21:07        BRTI Blokir Nomor Telepon Terindikasi Penipuan 
0, 20:38        Gandeng Alipay BRI Garap Turis Asal China 
0, 20:21        Pertamina Teken Kontrak Jual Beli dengan 11 KKKS Impor Minyak Bisa Berkurang 
0, 19:48        Merpati Airlines Ingin Ada Pergerakan Tahun Ini 
0, 19:18        Bakal Akuisisi Perusahaan Asuransi BRI Siapkan Rp 15 Triliun 
0, 18:48        Apa Resolusi Bill Gates di Tahun 2019?  
0, 18:38        Tahun Baru Konsumsi Avtur di Bandara Komodo Justru Turun 
0, 18:22        Rombak Direksi BRI Angkat Kembali Sunarso Jadi Wakil Direktur Utama 
0, 17:21        Inflasi Rendah Rupiah Ditutup Menguat 
0, 17:08        Akhir 2019 Dana Hasil Tax Amnesty Bisa Tinggalkan RI Pemerintah Tak Khawatir 
0, 17:00        Jika Kartu NPWP Hilang Begini Cara Mengurus yang Baru 
0, 16:40        BPJS Kesehatan Wajibkan Faskes Miliki Sertifikat Akreditasi 
0, 16:28        Tahun Ini KNKS Akan Kembangkan Keuangan Syariah dan Industri Halal 
0, 16:00        Ingin Sukses dalam Karier Ikuti 7 Tips Ini di Tahun 2019 
0, 15:56        Penawaran SBR005 Mulai 10 Januari 2019 Minimal Pesanan Rp 1 Juta 
0, 15:31        Jasa Marga: Sewa Tempat di Rest Area Tol Trans Jawa Mulai Rp 150.000 Per Meter 
0, 15:00        Lima KA Dicabut Subsidinya PT KAI Tak Naikkan Harga Tiket 
0, 14:34        Pemerintah Ingin Sektor Riil Jadi Tulang Punggung Keuangan Syariah 
0, 14:15        Subsidi Dicabut Tarif 5 KA Ekonomi Ini Tidak Naik 
0, 13:38        Menteri Bappenas Minta Pejabat KNKS Langsung Kerja Full Usai Dilantik 
0, 13:16        Tahun 2018 Jumlah Korban Kecelakaan Pesawat Global Naik Tajam 
0, 13:01        Ingin Jadi Pusat Ekonomi Syariah Global Ini PR Indonesia 
0, 12:46        Ada Potensi Korupsi Menkeu Hati-hati Kucurkan Dana Penanganan Bencana  
0, 12:37        Qatar Airways Beli 5 Persen Saham China Southern Airlines 
0, 12:30        6 Resolusi Anti Basi di Era Disrupsi 
0, 12:08        Sri Mulyani Sabet Financial Minister of The Year 2019 
0, 11:45        Bulog Klaim Berhasil Stabilkan Harga Pangan Selama 2018 
0, 11:29        Kepala Bappenas Lantik Pejabat Komite Nasional Keuangan Syariah 
0, 11:00        Terapkan Resolusi Ini di Tahun 2019 Agar Kariermu Melesat 
0, 10:30        Nilai Tukar Rupiah Stabil Kunci Jaga Inflasi Tahun 2019 
0, 10:15        Menkeu Tanggapi Curhat Sutopo soal Turunnya Anggaran Mitigasi Bencana 
0, 10:01        Cukai Rokok Sumbang Rp 153 Triliun ke Kas Negara pada 2018 
0, 09:30        Jumlah Penumpang Pesawat Saat Libur Natal dan Tahun Baru 2019 Turun 
0, 09:03        Kenaikan UMP Diprediksi Picu Naiknya Inflasi Jakarta 2019 
0, 08:27        BI Sebut Inflasi Sepanjang 2018 Terjaga dalam Sasaran Inflasi 
0, 08:00        Timses Prabowo-Sandi Tantang Sri Mulyani Transparan soal Melonjaknya Dana Hibah 
0, 07:30        7 Fakta APBN 2018 dari Hibah yang Meroket hingga Bengkaknya Subsidi  
0, 07:04        Penjualan di China Diprediksi Turun Saham Apple Turun Tajam 
0, 07:01        Berita Populer Ekonomi: Negara Paling Inovatif di Dunia 
0, 06:29        Kondisi Ekonomi Indonesia Tahun 2019 Diprediksi Membaik 
0, 06:15        Perdagangan Perdana 2019 Wall Street Menguat Tipis 
0, 05:50        Pajak Tak Capai Target Sri Mulyani Harap Dunia Usaha Lebih Patuh  
0, 05:14        Kinerja Bitcoin Diprediksi Cerah di 2019 
0, 22:36        Pertamina Turunkan Harga Pertalite Pertamax hingga Dex         
0, 22:25        Menhub Targetkan Reaktivasi Dua Jalur KA Rampung Tahun Ini 
0, 22:02        Jonan: Harga Premium dan Solar Tidak Naik 
0, 21:37        Rini Tunjuk Mantan Direktur BRI Jadi Dirut Pegadaian 
0, 21:02        Jonan Sebut Harga Listrik Tidak akan Naik hingga Akhir 2019 
0, 20:30        Ini Alasan Menhub Pangkas Dana Perawatan dan Pengoperasian Kereta Api 
0, 20:16        Waskita Jajakan 5 Ruas Tol ke Investor Asing 
0, 20:00        Pemerintah Tambah Subsidi untuk Pengoperasian KA Perintis 
0, 19:50        Waskita Karya: Tiga Proyek Utama Ditargetkan Rampung Tahun Ini 
0, 19:17        Gandeng BUMN Karya Krakatau Steel Incar Perusahaan Baja Lokal 
0, 19:03        Ini Tarif Tambahan Lion Air Setelah Layanan Bagasi Gratis Dicabut 
0, 18:38        Subsidi Energi Membengkak Ini Penjelasan Jonan 
0, 18:14        Menpan RB: Reformasi Birokrasi Ubah Zona Nyaman Pemerintahan Jadi Berkelas Dunia 
0, 17:43        Tinggalkan Diesel PLTMG Flores Akan Gunakan Gas Mulai April 2019 
0, 17:33        Geger Dugaan Kerja Paksa Berapa Sebenarnya Gaji di Taiwan? 
0, 17:22        Polemik Caption Pesanan dari Gimmick hingga Karakter Diri 
0, 17:12        Gubernur BI Optimistis Risiko Perekonomian Global Tak Setinggi 2018 
0, 17:02        Pemerintah Pangkas Dana Perawatan dan Pengoperasian Kereta Api 
0, 16:56        Penumpang Lion Air dan Wings Air Kini Harus Bayar Bagasi 
0, 16:30        Realisasi PNBP Sektor ESDM Tahun 2018 Lampaui Target 
0, 16:15        Ada Kabar Mahasiswa RI Dipaksa Tutup Mulut Ini Kata Pemerintah Taiwan 
0, 15:56        Taiwan Tuding Agen Tenaga Kerja Sebar Isu Kerja Paksa Mahasiswa Indonesia 
0, 15:24        BI Prediksi Inflasi Awal Tahun Rendah 
0, 15:00        Pertamina EP Cepu Bangun Pabrik Gas di Lapangan JBT Bojonegoro 
0, 14:30        Pemerintah Taiwan Bantah Ratusan Mahasiswa Indonesia Jalani Kerja Paksa 
0, 14:26        Gubernur BI Sebut 2 Alasan Rupiah Menguat Signifikan Hari Ini 
0, 13:51        Ini Kebijakan Fiskal yang Akan Diusung Prabowo-Sandiaga 
0, 13:26        Perang Dagang Trump Mulai Memukul AS Sendiri 
0, 13:02        AS dan China Gelar Perundingan Perdagangan di Beijing Pekan Depan 
0, 12:38        Bidik Milenial Uang Kripto Cyronium Gandeng Start-up Pemesanan Hotel 
0, 12:35        Rugi 6 Tahun Berturut-turut Krakatau Steel Gencar Restrukturisasi 
0, 12:20        Stop Benci Pekerjaan Anda dengan 5 Cara Ini 
0, 11:47        2018 Kapitalisasi Pasar Microsoft Tertinggi di Dunia 
0, 10:44        Rupiah Menguat Tipis di Awal Perdagangan Jumat 
0, 10:35        Keluar dari Uni Eropa Resesi Inggris di Depan Mata? 
0, 10:00        5 Cara Sederhana Menjadi Lebih Cerdas Finansial di 2019 
0, 09:10        6 Cara Tepat Ajukan Kenaikan Gaji Tahun Ini 
0, 08:17        Wamen ESDM Minta Warga Manggarai Barat Jaga Lampu Jalan Tenaga Surya 
0, 08:08        2018 Pendapatan Disney dari Box Office Tembus 7,3 Miliar Dollar AS 
0, 07:07        Jasa Penulisan Caption Medsos Upaya Penuhi Kebutuhan Engagement 
0, 07:00        Produk Mewah Mulai Terimbas Perlambatan Ekonomi China 
0, 06:30        Berita Populer: Timses Prabowo-Sandi Tantang Sri Mulyani 
0, 06:30        Bangun Jalan Tol Tambah Beban Utang Negara? Ini Faktanya  
0, 06:26        Saham Anjlok Nilai Perusahaan Apple Jauh dari 1 Triliun Dollar AS 
0, 06:10        Jasa Pembuatan Caption Zarry Hendrik Bisnis Unik Merangkai Kata 
0, 05:54        Erick Thohir: Ekonomi Indonesia Akan Terus Tumbuh 
0, 05:12        Merpati akan Pakai Pesawat Buatan Rusia di Indonesia Timur 
0, 18:14        Soal Aturan Ojek Online Go-Jek Tunggu Undangan Pemerintah  
0, 15:37        Pengenaan Tarif Bagasi Lion Air Group Belum Dapat Persetujuan Kemenhub 
0, 14:46        Ini Garis Besar yang Ada dalam Aturan Ojek Online Menurut Kemenhub 
0, 14:12        Menhub Cek Kebijakan Lion Air Group yang Kenakan Tarif untuk Bagasi 
0, 14:01        Menhub: Aturan Ojek Online Mencakup Kepastian Pendapatan Pengemudi 
0, 12:15        Riset Buktikan Millenial Adalah Perencana Keuangan Terbaik  
0, 10:01        Cerita Mantan Mahasiswa Indonesia di Taiwan Kaget Mendengar Isu Kerja Paksa 
0, 09:51        Hambat Serapan Beras Pemerintah Perlu Evaluasi Penerapan HPP 
0, 09:05        Gubernur The Fed Tidak Akan Mundur Meski Didesak Trump 
0, 07:35        Harga BBM Nonsubsidi Turun Ini Daftarnya 
0, 07:10        Tujuh Fakta atas Opini PKS soal Ekonomi Indonesia 
0, 07:04        Bagaimana Aturan Kerja Mahasiswa Indonesia di Taiwan? 
0, 06:39        Dengan Pembangkit Listrik Tenaga Gas PLN Bisa Hemat Ongkos Produksi 
0, 06:07        Reaktivasi Jalur KA Banjar-Pangandaran Ini Kata Menhub 
0, 21:38        Wings Air Buka Rute Baru dari Bandara Kertajati ke Yogyakarta 
0, 21:31        Perusahaan Logistik Ini Tawarkan Pengiriman dalam Hitungan Menit 
0, 19:08        Kemenhub Usulkan Ada Bus Trans Java Ini Komentar Organda 
0, 15:34        Start-up Ini Ingin Gencarkan Arisan Online 
0, 13:55        8 Rahasia Sukses Bos-bos Besar di Indonesia 
0, 13:22        Ini Beda Laki-laki dan Perempuan Milenial Saat Cari Kerja 
0, 13:11        Kisah Lea Jeans di Tangan Generasi Kedua 
0, 12:19        Tips agar Bisa Jawab Pertanyaan saat Wawancara Kerja 
0, 11:03        Cumi Startup Besutan Christian Sugiono yang Terinspirasi Mainan Anaknya 
0, 09:42        Termahal Sedunia Seekor Ikan Tuna Terjual Rp 44,9 Miliar 
0, 08:53        Pekerjaan Apa yang Membuat Anda Bahagia? Cek Ini 
0, 07:57        Berita Populer Sepekan: Lion Air Cabut Layanan Bagasi Gratis hingga Harga Pertamax Cs Turun   
0, 23:33        Penghargaan Bisnis Berkelanjutan Libatkan 60 Perusahaan 
0, 22:01        Ini 5 Daerah dengan Pertumbuhan Transaksi Tertinggi di Go-Food 
0, 21:30        Kemenhub Akan Temui Organda Bahas Bus Trans Java 
0, 21:17        Pemerintah Buka Keran Impor Jagung 30.000 Ton  
0, 21:15        BI Akan Awasi Transaksi e-Commerce Antarnegara 
0, 21:02        8 Kapal di Lintas Merak-Bakaheuni Masih di Bawah 5.000 GT 
0, 20:45        Sri Mulyani Anggap Kritikan Bank Dunia  soal Infrastruktur sebagai Masukan yang Baik  
0, 20:20        Staf Khusus Darmin Nasution Pegang Kendali BP Batam di Masa Transisi 
0, 19:59        Jadi Favorit Paket Ayam Nyaris Dipesan 10 Juta Kali di Go-Food 
0, 19:30        Kemenhub Tunda Pemberlakuan Kewajiban Kapal Minimal 5.000 GT di Merak-Bakaheuni  
0, 19:03        Himbara Pertamina dan Telkom Godok Sistem Pembayaran dengan QR Code  
0, 19:02        Gubernur BI Lantik 8 Pejabat Baru 
0, 18:55        Data Terintegrasi Arus Devisa Hasil Ekspor Bisa Dipantau secara Real Time 
0, 18:45        Kapal Buatan China Akan Layani Penyeberangan Merak-Bakauheni 
0, 18:30        Bank Mandiri Gencarkan Bisnis di Segmen Menengah 
0, 18:12        Tak Bawa Pulang Devisa Hasil Ekspor Sanksi Menanti Pengusaha 
0, 17:50        Bank Mandiri Tunjuk Direktur Komersial Baru  
0, 17:35        Waspadai Modus Penipuan Tanyakan Nomor OTP kepada Nasabah BCA 
0, 17:33        Tahun Ini Makanan Sehat dan Unik Bakal Banyak Dipesan Lewat Go-Food 
0, 17:02        Paket Ayam dan Gorengan Makanan Paling Banyak Dipesan Lewat Go-Food 
0, 17:00        Terungkap Zodiak Ini Paling Banyak Hasilkan Miliarder 
0, 16:55        Gempur Peredaran Barang Ilegal Ini Strategi Bea Cukai  
0, 16:05        Sistem Manifest Generasi III Pangkas Dwell Time Hampir Sehari  
0, 15:35        Targetkan Ekspor 2019 Lebih Tinggi Ini Strategi Kemendag 
0, 15:35        5 Fakta Pencabutan Bagasi Gratis Lion Air dan Wings Air 
0, 15:22        Mulai Hari Ini Jepang Terapkan Pajak untuk Turis 
0, 15:21        Menguat ke Rp 14.090 Per Dollar AS BI Nilai Rupiah Masih Undervalued 
0, 15:13        Terapkan Sistem Manifest Generasi III RI akan Lebih Dipandang Dunia  
0, 15:00        CIMB Beri Cuti Hamil 6 Bulan untuk Pegawai yang Sambut Anak Pertama 
0, 14:56        IATA: Tak Heran Sri Mulyani Jadi Menteri Keuangan Terbaik...  
0, 14:48        Faktor Eksternal Jadi Penyebab Garangnya Rupiah Hari Ini 
